id,sender,receiver,amount,currency,timestamp
TX001,ACC001,ACC004,500.00,USD,2026-07-28T08:00:00Z
TX002,ACC003,ACC006,10000.00,INR,2026-07-28T08:01:00Z
TX003,ACC002,ACC005,1000.00,EUR,2026-07-28T08:02:00Z
TX004,ACC001,ACC002,200.00,USD,2026-07-28T08:03:00Z
TX005,ACC004,ACC001,2500.00,USD,2026-07-28T08:04:00Z
TX006,ACC001,ACC004,100.00,USD,2026-07-28T08:05:00Z
TX006,ACC001,ACC004,100.00,USD,2026-07-28T08:05:00Z
TX007,ACC001,ACC999,100.00,USD,2026-07-28T08:06:00Z
TX008,ACC001,ACC004,12000.00,USD,2026-07-28T08:07:00Z
TX009,ACC002,ACC005,9500.00,EUR,2026-07-28T08:08:00Z
TX010,ACC003,ACC006,900000.00,INR,2026-07-28T08:09:00Z
TX011,ACC003,ACC006,5000.00,INR,2026-07-28T08:10:00Z
TX012,ACC005,ACC002,500.00,EUR,2026-07-28T08:11:00Z
TX013,ACC004,ACC001,150.00,USD,2026-07-28T08:12:00Z
TX014,ACC999,ACC001,100.00,USD,2026-07-28T08:13:00Z
TX015,ACC001,ACC004,10.00,EUR,2026-07-28T08:14:00Z
TX016,ACC003,ACC006,40000.00,INR,2026-07-28T08:15:00Z
TX017,ACC006,ACC003,15000.00,INR,2026-07-28T08:16:00Z
TX018,ACC002,ACC005,200.00,EUR,2026-07-28T08:17:00Z
TX018,ACC002,ACC005,200.00,EUR,2026-07-28T08:17:00Z
